Group;Question Label;Topic Label;Year;Akse;Ordforklaring;Antpers;Farveskala;Gennemsnit;Score (Indekseret score) (gennemsnit) (label);Score (Indekseret score) (gennemsnit);Score (Indekseret score);Score
Mænd;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";17067;-4,299641477;;;;74,92636837;3,746318418
Mænd;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";17052;-13,13766794;;;;76,22954985;3,811477493
Mænd;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";17065;3,670158857;;;;75,78286697;3,789143349
Kvinder, 55 - 64 år;Veloplagt på arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad føler du dig veloplagt, når du er på arbejde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";5718;23,54509833;;;;74,85523747;3,742761874
Kvinder, 55 - 64 år;Opslugt af arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad bliver du opslugt af dine arbejdsopgaver?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";5715;28,1310255;;;;75,70003523;3,785001761
Kvinder, 55 - 64 år;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";5718;11,22584392;;;;76,21923681;3,81096184
Kvinder, 55 - 64 år;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";5715;12,55554851;;;;78,6384786;3,93192393
Kvinder, 55 - 64 år;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";5716;28,5797534;;;;76,75785094;3,837892547
Kvinder, 45 - 54 år;Veloplagt på arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad føler du dig veloplagt, når du er på arbejde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";6571;8,367401837;;;;74,44632395;3,722316197
Kvinder, 45 - 54 år;Opslugt af arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad bliver du opslugt af dine arbejdsopgaver?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";6571;24,42699375;;;;75,39723941;3,769861971
Kvinder, 45 - 54 år;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";6574;14,81692516;;;;76,51828031;3,825914016
Kvinder, 45 - 54 år;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";6574;22,44533209;;;;79,56571883;3,978285942
Kvinder, 45 - 54 år;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";6573;19,20681338;;;;76,39098563;3,819549281
Kvinder, 35 - 44 år;Veloplagt på arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad føler du dig veloplagt, når du er på arbejde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";4418;12,9224449;;;;74,56904473;3,728452236
Kvinder, 35 - 44 år;Opslugt af arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad bliver du opslugt af dine arbejdsopgaver?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";4418;21,78311688;;;;75,18110875;3,759055438
Kvinder, 35 - 44 år;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";4424;24,07307377;;;;77,28907634;3,864453817
Kvinder, 35 - 44 år;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";4425;32,47932924;;;;80,50648015;4,025324008
Kvinder, 35 - 44 år;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";4423;14,9630776;;;;76,22488199;3,811244099
Kvinder, 25 - 34 år;Veloplagt på arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad føler du dig veloplagt, når du er på arbejde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";2429;-73,25052298;;;;72,24739519;3,61236976
Kvinder, 25 - 34 år;Opslugt af arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad bliver du opslugt af dine arbejdsopgaver?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";2429;-13,15592543;;;;72,32492491;3,616246246
Kvinder, 25 - 34 år;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";2431;-5,025099786;;;;74,86595659;3,74329783
Kvinder, 25 - 34 år;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";2430;10,62008954;;;;78,45701503;3,922850752
Kvinder, 25 - 34 år;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";2432;-60,96304823;;;;73,25306502;3,662653251
Kvinder, 18 - 24 år;Veloplagt på arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad føler du dig veloplagt, når du er på arbejde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";707;-70,61841653;;;;72,31830871;3,615915436
Kvinder, 18 - 24 år;Opslugt af arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad bliver du opslugt af dine arbejdsopgaver?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";707;-71,8689745;;;;67,52527241;3,37626362
Kvinder, 18 - 24 år;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";706;-75,92692623;;;;68,9616817;3,448084085
Kvinder, 18 - 24 år;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";707;-60,46049376;;;;71,79268553;3,589634276
Kvinder, 18 - 24 år;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";707;-71,42024661;;;;72,84376085;3,642188042
Kvinder;Veloplagt på arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad føler du dig veloplagt, når du er på arbejde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";19843;-10,45838425;;;;73,93912455;3,696956228
Kvinder;Opslugt af arbejdet;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad bliver du opslugt af dine arbejdsopgaver?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";19840;8,507605687;;;;74,0958672;3,70479336
Kvinder;Interessante og inspirerende opgaver;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad synes du, at dine arbejdsopgaver er interessante og inspirerende?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";19853;4,299641477;;;;75,6424646;3,78212323
Kvinder;Dit arbejde er vigtigt for dig;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad er dit arbejde vigtigt for dig (foruden indkomsten)?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";19851;13,13766794;;;;78,6930566;3,93465283
Kvinder;Arbejdet giver selvtillid og arbejdsglæde;Engagement og mening i arbejdet;2018;Score;"Spørgsmål: I hvilken grad giver dit arbejde dig selvtillid og arbejdsglæde?

- 1. I meget ringe grad
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. I meget høj grad

I resultaterne præsenteres den gennemsnitlige score (1-5).";19851;-3,670158857;;;;75,49556032;3,774778016
Mænd, 55 - 64 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";5138;2,84893837;;;;32,55783579;3,255783579
Mænd, 45 - 54 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";5439;0,95469046;;;;32,90833119;3,290833119
Mænd, 35 - 44 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";3598;1,204621274;;;;32,86208613;3,286208613
Mænd, 25 - 34 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";1957;-6,570946994;;;;34,30081063;3,430081063
Mænd, 18 - 24 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";624;-77,29712075;;;;47,38737553;4,738737553
Mænd;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";16756;-7,761779259;;;;34,52115202;3,452115202
Kvinder, 55 - 64 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";5678;7,070962561;;;;31,77662863;3,177662863
Kvinder, 45 - 54 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";6500;22,70287925;;;;28,88423277;2,888423277
Kvinder, 35 - 44 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";4361;17,79678596;;;;29,79201421;2,979201421
Kvinder, 25 - 34 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";2369;4,688485877;;;;32,21746169;3,221746169
Kvinder, 18 - 24 år;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";675;-59,04452081;;;;44,01007091;4,401007091
Kvinder;Fysisk hårdt arbejde;Fysisk hårdt arbejde;2018;Score;"Spørgsmål: Hvor fysisk hårdt opfatter du normalt dit nuværende arbejde?

-0 ~ Ikke hårdt
-1
-2
-3
-4
-5
-6
-7
-8
-9
-10 ~ Maksimalt hårdt

I resultaterne præsenteres den gennemsnitlige score (0-10).";19583;7,761779259;;;;31,64880583;3,164880583
Mænd, 55 - 64 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";5197;6,962389581;;;;57,06196599;2,853098299
Mænd, 55 - 64 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";5196;14,23478287;;;;53,59051081;2,67952554
Mænd, 45 - 54 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";5526;17,35617881;;;;55,18792747;2,759396374
Mænd, 45 - 54 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";5531;19,34029806;;;;52,83283021;2,641641511
Mænd, 35 - 44 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";3703;30,80703249;;;;52,76268897;2,638134448
Mænd, 35 - 44 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";3699;20,48516808;;;;52,66292654;2,633146327
Mænd, 25 - 34 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";2053;44,65570049;;;;50,26572307;2,513286154
Mænd, 25 - 34 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";2049;27,43325163;;;;51,63180081;2,58159004
Mænd, 18 - 24 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";672;51,93433174;;;;48,95335903;2,447667951
Mænd, 18 - 24 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";672;64,9679339;;;;46,06149119;2,30307456
Mænd;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";17151;27,88742943;;;;53,28910416;2,664455208
Mænd;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";17147;24,99468564;;;;51,99369458;2,599684729
Kvinder, 55 - 64 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";5723;-48,06566827;;;;66,98372768;3,349186384
Kvinder, 55 - 64 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";5717;-35,0320661;;;;60,90192484;3,045096242
Kvinder, 45 - 54 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";6580;-35,59963216;;;;64,73605541;3,236802771
Kvinder, 45 - 54 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";6583;-28,15435624;;;;59,88124287;2,994062144
Kvinder, 35 - 44 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";4440;-27,06013259;;;;63,19635216;3,159817608
Kvinder, 35 - 44 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";4438;-25,58023676;;;;59,49923238;2,974961619
Kvinder, 25 - 34 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";2450;-23,83862627;;;;62,61550269;3,130775135
Kvinder, 25 - 34 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";2450;-28,17198133;;;;59,88385851;2,994192925
Kvinder, 18 - 24 år;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";716;27,26086867;;;;53,40207538;2,670103769
Kvinder, 18 - 24 år;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";710;14,21408311;;;;53,59358274;2,679679137
Kvinder;Skal forholde sig til andres problemer;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte skal du tage stilling til fx klienters, patienters eller elevers problemer i dit arbejde (ikke dine kollegers problemer)?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";19909;-27,88742943;;;;63,34551683;3,167275841
Kvinder;Følelsesmæssigt berørt af arbejdet;Følelsesmæssige krav;2018;Score;"Spørgsmål: Hvor ofte bliver du følelsesmæssigt berørt af dit arbejde?

- 1. Aldrig
- 2. Sjældent
- 3. Sommetider
- 4. Ofte
- 5. Altid

I resultaterne præsenteres den gennemsnitlige score (1-5).";19898;-24,99468564;;;;59,41233405;2,970616703
